epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8033,2.09463,5.94543,1.50204,0.00566,0.33732,0.01695,0.01091,1.81114,46.8458,1.30963,0.000652778,0.000652778,0.000652778
2,47.8306,2.06422,2.91043,1.4922,0.015,0.18532,0.00769,0.00326,2.22669,1040.76,1.74168,0.00130638,0.00130638,0.00130638
3,71.1022,2.12666,2.59057,1.52535,0.30162,0.19833,0.15732,0.07372,2.35156,82.3087,1.63907,0.00194679,0.00194679,0.00194679
4,94.6412,2.33965,2.77231,1.6199,0.20414,0.18298,0.09461,0.03476,2.33505,44.8263,1.6738,0.0019406,0.0019406,0.0019406
5,118.305,2.14442,2.39043,1.5785,0.07471,0.21421,0.02855,0.01434,1.92696,55.9883,1.50758,0.0019208,0.0019208,0.0019208
6,140.281,2.11258,2.25042,1.55681,0.40271,0.26158,0.22602,0.11332,1.97516,60.1794,1.42906,0.001901,0.001901,0.001901
7,162.349,2.02156,2.0966,1.50536,0.46467,0.27225,0.27392,0.14909,1.91496,17.0616,1.53977,0.0018812,0.0018812,0.0018812
8,186.435,2.006,2.11416,1.47438,0.49954,0.25773,0.27443,0.148,1.94914,10.7661,1.36559,0.0018614,0.0018614,0.0018614
9,208.033,2.01626,2.08105,1.43093,0.47235,0.28709,0.28384,0.14613,1.87637,9.07906,1.34353,0.0018416,0.0018416,0.0018416
10,230.908,2.04928,2.06942,1.49019,0.50467,0.32197,0.31901,0.17078,1.84372,6.69878,1.34143,0.0018218,0.0018218,0.0018218
11,253.032,1.94855,2.39223,1.49639,0.52499,0.31931,0.31644,0.17112,1.80024,10.1232,1.34785,0.001802,0.001802,0.001802
12,277.112,1.92708,2.12488,1.46521,0.50287,0.29099,0.31778,0.18901,1.70599,8.78241,1.26455,0.0017822,0.0017822,0.0017822
13,299.223,1.88229,2.00443,1.40858,0.58927,0.29386,0.3401,0.19534,1.6937,6.29936,1.23741,0.0017624,0.0017624,0.0017624
14,321.966,1.75614,1.74284,1.37479,0.51662,0.31963,0.32646,0.18884,1.71311,4.94547,1.27907,0.0017426,0.0017426,0.0017426
15,344.475,1.86461,1.7039,1.36698,0.54605,0.36335,0.38422,0.22089,1.64737,4.68576,1.22825,0.0017228,0.0017228,0.0017228
16,366.652,1.74042,1.655,1.33565,0.56829,0.33371,0.37629,0.22023,1.67034,3.54098,1.20302,0.001703,0.001703,0.001703
17,389.717,1.78792,1.72381,1.36409,0.56713,0.35431,0.3846,0.21535,1.69812,3.6072,1.26277,0.0016832,0.0016832,0.0016832
18,410.99,1.77934,1.81471,1.36885,0.54539,0.31884,0.33859,0.20088,1.60866,3.0955,1.20291,0.0016634,0.0016634,0.0016634
19,433.988,1.84144,1.93018,1.36812,0.60813,0.35086,0.38756,0.2297,1.63133,2.98198,1.21579,0.0016436,0.0016436,0.0016436
20,455.674,1.6956,1.66036,1.33227,0.41589,0.19781,0.23579,0.14958,1.62604,49.4003,1.20141,0.0016238,0.0016238,0.0016238
21,478.079,1.65529,1.57944,1.31773,0.57603,0.36856,0.39557,0.23098,1.60654,4.98395,1.19255,0.001604,0.001604,0.001604
22,500.924,1.71305,1.57959,1.30913,0.58364,0.38209,0.41372,0.24102,1.58547,3.05656,1.19477,0.0015842,0.0015842,0.0015842
23,522.999,1.7174,1.68303,1.31275,0.55771,0.36309,0.39038,0.23924,1.54058,6.73949,1.18446,0.0015644,0.0015644,0.0015644
24,545.996,1.66511,1.61593,1.28017,0.54019,0.36674,0.39238,0.2334,1.58951,3.21688,1.20981,0.0015446,0.0015446,0.0015446
25,567.493,1.59671,1.50085,1.27533,0.59317,0.40135,0.42037,0.24453,1.58489,2.35587,1.17534,0.0015248,0.0015248,0.0015248
26,591.541,1.66636,1.56158,1.27921,0.6614,0.36335,0.41591,0.24764,1.52807,4.44315,1.13702,0.001505,0.001505,0.001505
27,613.581,1.63887,1.49448,1.26476,0.58472,0.38704,0.42419,0.24982,1.58085,2.57678,1.1544,0.0014852,0.0014852,0.0014852
28,637.004,1.70856,1.66745,1.29403,0.58094,0.38522,0.41512,0.24934,1.5361,3.39668,1.1421,0.0014654,0.0014654,0.0014654
29,658.247,1.61646,1.59204,1.28485,0.62301,0.38626,0.43343,0.26188,1.52892,3.10638,1.14304,0.0014456,0.0014456,0.0014456
